iter	Passed	Remaining
0	0	731
1	1	664
2	2	668
3	2	654
4	3	628
5	3	612
6	4	599
7	4	593
8	5	603
9	5	593
10	6	588
11	7	578
12	7	569
13	7	561
14	8	556
15	9	558
16	9	551
17	10	547
18	10	540
19	10	528
20	11	526
21	11	527
22	12	523
23	12	522
24	13	519
25	13	515
26	14	513
27	14	512
28	15	508
29	15	509
30	16	507
31	16	511
32	17	513
33	18	512
34	18	510
35	19	509
36	19	509
37	20	509
38	20	509
39	21	508
40	21	505
41	22	503
42	22	499
43	22	497
44	23	495
45	23	493
46	24	491
47	24	490
48	25	487
49	25	485
50	26	484
51	26	485
52	27	483
53	27	481
54	27	480
55	28	478
56	28	476
57	29	474
58	29	472
59	30	470
60	30	466
61	30	461
62	30	460
63	31	462
64	32	463
65	32	462
66	33	463
67	33	463
68	34	464
69	34	463
70	35	461
71	35	460
72	36	459
73	36	457
74	37	456
75	37	455
76	37	454
77	38	453
78	38	451
79	39	450
80	39	449
81	40	453
82	41	453
83	41	453
84	42	452
85	42	450
86	42	449
87	43	449
88	43	450
89	44	449
90	44	448
91	45	447
92	45	447
93	46	446
94	46	446
95	47	445
96	47	446
97	48	446
98	49	446
99	49	445
100	50	445
101	50	445
102	51	445
103	51	444
104	52	443
105	52	442
106	52	441
107	53	440
108	53	439
109	54	438
110	54	437
111	55	440
112	56	441
113	56	441
114	57	441
115	58	442
116	58	442
117	59	442
118	59	442
119	60	442
120	61	443
121	61	442
122	62	442
123	62	442
124	63	441
125	63	440
126	63	439
127	64	439
128	64	438
129	65	437
130	65	436
131	66	435
132	66	434
133	67	434
134	67	433
135	68	432
136	68	432
137	69	431
138	69	430
139	69	429
140	70	429
141	71	429
142	71	429
143	72	428
144	72	428
145	73	427
146	73	428
147	74	428
148	74	427
149	75	426
150	75	426
151	76	425
152	76	425
153	77	425
154	77	424
155	78	424
156	78	423
157	79	422
158	79	422
159	80	421
160	80	420
161	81	419
162	81	419
163	82	418
164	82	417
165	83	417
166	83	416
167	83	415
168	84	414
169	84	413
170	85	413
171	85	412
172	86	411
173	86	410
174	87	410
175	87	409
176	88	409
177	88	408
178	89	408
179	89	408
180	90	408
181	90	408
182	91	407
183	91	407
184	92	406
185	92	405
186	93	405
187	93	404
188	94	404
189	94	403
190	95	402
191	95	401
192	95	401
193	96	400
194	97	400
195	97	400
196	98	400
197	98	400
198	99	400
199	100	400
200	100	400
201	101	399
202	101	399
203	102	399
204	102	398
205	103	398
206	103	397
207	104	396
208	104	396
209	105	395
210	105	394
211	106	394
212	106	393
213	106	392
214	107	392
215	107	391
216	108	390
217	108	390
218	109	389
219	109	388
220	110	388
221	110	387
222	111	386
223	111	386
224	111	385
225	112	384
226	112	384
227	113	383
228	113	382
229	114	382
230	114	381
231	115	381
232	115	380
233	116	380
234	116	379
235	117	378
236	117	378
237	118	378
238	118	377
239	119	376
240	119	376
241	120	375
242	120	375
243	120	374
244	121	374
245	122	374
246	122	373
247	122	372
248	123	372
249	123	371
250	124	371
251	125	371
252	125	370
253	125	369
254	126	369
255	126	368
256	127	368
257	128	368
258	128	367
259	128	366
260	129	366
261	129	366
262	130	365
263	130	364
264	131	364
265	131	363
266	132	363
267	133	363
268	133	363
269	134	363
270	134	362
271	135	361
272	135	361
273	136	360
274	136	360
275	137	359
276	137	358
277	137	358
278	138	357
279	138	357
280	139	356
281	139	356
282	140	355
283	140	354
284	141	354
285	141	354
286	142	353
287	142	353
288	143	352
289	143	351
290	144	351
291	144	350
292	145	350
293	145	349
294	146	349
295	146	349
296	147	348
297	148	348
298	148	348
299	149	347
300	149	347
301	150	347
302	151	347
303	151	347
304	152	346
305	152	346
306	153	346
307	154	346
308	154	345
309	155	345
310	155	345
311	156	345
312	157	344
313	157	344
314	158	344
315	158	343
316	159	343
317	160	344
318	161	344
319	162	344
320	163	345
321	164	345
322	164	345
323	165	345
324	166	345
325	167	345
326	169	348
327	170	348
328	170	348
329	171	348
330	172	348
331	173	349
332	174	349
333	175	349
334	175	349
335	176	349
336	177	349
337	178	349
338	179	349
339	180	350
340	181	350
341	182	350
342	183	350
343	184	351
344	185	351
345	186	352
346	187	352
347	187	352
348	189	352
349	190	352
350	191	353
351	192	353
352	193	353
353	193	353
354	194	353
355	195	353
356	196	353
357	197	354
358	198	354
359	199	354
360	200	354
361	200	353
362	201	353
363	202	353
364	203	354
365	204	354
366	205	354
367	206	353
368	207	354
369	208	354
370	208	353
371	209	353
372	210	353
373	211	353
374	211	353
375	213	353
376	213	353
377	214	353
378	215	353
379	216	352
380	217	352
381	217	352
382	218	351
383	219	351
384	219	351
385	220	350
386	221	350
387	222	350
388	222	350
389	223	350
390	225	350
391	226	350
392	227	350
393	227	350
394	228	350
395	229	350
396	230	350
397	231	349
398	232	350
399	233	349
400	234	350
401	235	350
402	236	349
403	237	349
404	238	349
405	238	349
406	239	349
407	240	348
408	241	348
409	242	348
410	243	348
411	244	349
412	245	348
413	246	348
414	247	348
415	247	347
416	248	347
417	248	346
418	249	345
419	249	345
420	250	344
421	251	344
422	251	343
423	252	343
424	253	343
425	254	342
426	254	342
427	255	341
428	256	341
429	256	340
430	257	339
431	257	339
432	258	338
433	258	337
434	259	336
435	259	336
436	260	335
437	260	334
438	261	334
439	261	333
440	262	332
441	262	331
442	263	331
443	264	330
444	264	330
445	265	329
446	265	328
447	266	328
448	266	327
449	267	326
450	267	326
451	268	325
452	269	325
453	269	324
454	270	323
455	270	323
456	271	322
457	272	322
458	272	321
459	273	320
460	274	320
461	274	319
462	274	318
463	275	318
464	276	317
465	276	316
466	277	316
467	278	316
468	278	315
469	279	314
470	279	313
471	280	313
472	281	313
473	281	312
474	283	312
475	284	312
476	285	312
477	285	311
478	286	311
479	286	310
480	287	309
481	288	309
482	288	308
483	288	308
484	289	307
485	289	306
486	290	305
487	290	305
488	291	304
489	291	303
490	292	302
491	292	302
492	293	301
493	294	301
494	294	300
495	295	300
496	295	299
497	296	298
498	296	298
499	297	297
500	298	297
501	299	296
502	300	296
503	300	295
504	301	295
505	302	295
506	303	294
507	304	294
508	305	294
509	305	293
510	307	293
511	307	293
512	308	292
513	309	292
514	310	292
515	310	291
516	311	291
517	312	290
518	313	290
519	313	289
520	314	289
521	315	288
522	316	288
523	316	287
524	317	286
525	317	286
526	318	285
527	318	284
528	319	284
529	319	283
530	320	282
531	320	282
532	321	281
533	322	281
534	322	280
535	323	279
536	323	279
537	324	278
538	325	278
539	325	277
540	326	276
541	326	276
542	327	275
543	328	275
544	328	274
545	329	274
546	330	273
547	330	272
548	331	271
549	331	271
550	332	270
551	332	270
552	333	269
553	333	268
554	334	268
555	335	267
556	336	267
557	336	266
558	337	265
559	337	265
560	338	264
561	338	263
562	339	263
563	340	263
564	341	262
565	341	262
566	342	261
567	342	260
568	343	259
569	343	259
570	344	258
571	344	257
572	345	257
573	345	256
574	346	256
575	346	255
576	347	254
577	347	254
578	348	253
579	349	252
580	349	252
581	349	251
582	350	250
583	351	250
584	351	249
585	352	248
586	353	248
587	353	247
588	354	247
589	355	247
590	356	246
591	357	246
592	357	245
593	358	244
594	358	244
595	359	243
596	359	242
597	360	242
598	360	241
599	361	240
600	361	240
601	362	239
602	362	238
603	363	238
604	363	237
605	364	236
606	364	236
607	365	235
608	365	234
609	365	233
610	366	233
611	367	232
612	367	232
613	368	231
614	368	230
615	369	230
616	370	229
617	370	229
618	371	228
619	371	227
620	372	227
621	372	226
622	373	225
623	373	225
624	374	224
625	374	224
626	375	223
627	375	222
628	376	222
629	377	221
630	377	220
631	378	220
632	379	220
633	380	219
634	381	219
635	381	218
636	382	217
637	383	217
638	383	216
639	384	216
640	384	215
641	385	214
642	385	214
643	386	213
644	386	212
645	387	212
646	388	211
647	388	211
648	389	210
649	390	210
650	390	209
651	391	208
652	391	208
653	392	207
654	393	207
655	393	206
656	394	205
657	394	205
658	395	204
659	395	203
660	396	203
661	397	202
662	397	202
663	398	201
664	398	200
665	399	200
666	399	199
667	400	199
668	401	198
669	401	197
670	402	197
671	402	196
672	402	195
673	403	195
674	404	194
675	405	194
676	405	193
677	406	193
678	407	192
679	408	192
680	408	191
681	409	190
682	410	190
683	410	189
684	411	189
685	411	188
686	412	187
687	413	187
688	413	186
689	414	186
690	415	185
691	415	184
692	416	184
693	416	183
694	417	183
695	417	182
696	418	181
697	418	181
698	419	180
699	419	179
700	420	179
701	421	178
702	421	178
703	422	177
704	422	176
705	423	176
706	424	175
707	424	175
708	425	174
709	426	174
710	426	173
711	427	172
712	427	172
713	428	171
714	428	170
715	429	170
716	430	169
717	430	169
718	431	168
719	432	168
720	432	167
721	433	166
722	433	166
723	434	165
724	435	165
725	436	164
726	437	164
727	437	163
728	438	163
729	439	162
730	439	161
731	440	161
732	440	160
733	441	159
734	442	159
735	442	158
736	443	158
737	444	157
738	444	157
739	445	156
740	445	155
741	446	155
742	446	154
743	447	154
744	448	153
745	449	152
746	449	152
747	450	151
748	451	151
749	452	150
750	453	150
751	453	149
752	454	148
753	454	148
754	455	147
755	455	146
756	455	146
757	456	145
758	456	145
759	457	144
760	457	143
761	458	143
762	458	142
763	458	141
764	459	141
765	459	140
766	460	139
767	461	139
768	461	138
769	461	137
770	462	137
771	462	136
772	463	136
773	463	135
774	464	134
775	464	134
776	464	133
777	465	132
778	465	132
779	466	131
780	467	130
781	467	130
782	468	129
783	468	129
784	468	128
785	469	127
786	469	127
787	470	126
788	470	125
789	471	125
790	471	124
791	472	124
792	472	123
793	473	122
794	474	122
795	474	121
796	475	121
797	475	120
798	476	119
799	476	119
800	477	118
801	478	118
802	478	117
803	479	116
804	479	116
805	480	115
806	480	115
807	481	114
808	482	113
809	482	113
810	483	112
811	483	111
812	483	111
813	484	110
814	484	110
815	485	109
816	485	108
817	486	108
818	486	107
819	487	106
820	487	106
821	488	105
822	488	105
823	489	104
824	489	103
825	490	103
826	490	102
827	490	101
828	491	101
829	491	100
830	492	100
831	492	99
832	493	98
833	493	98
834	494	97
835	494	97
836	495	96
837	495	95
838	496	95
839	496	94
840	496	93
841	497	93
842	497	92
843	498	92
844	498	91
845	499	90
846	499	90
847	499	89
848	500	88
849	500	88
850	501	87
851	501	87
852	502	86
853	502	85
854	503	85
855	503	84
856	503	84
857	504	83
858	504	82
859	505	82
860	505	81
861	506	81
862	508	80
863	509	80
864	509	79
865	510	78
866	510	78
867	511	77
868	511	77
869	511	76
870	512	75
871	513	75
872	513	74
873	514	74
874	514	73
875	515	72
876	515	72
877	516	71
878	516	71
879	517	70
880	517	69
881	518	69
882	518	68
883	519	68
884	519	67
885	520	66
886	520	66
887	521	65
888	521	65
889	522	64
890	522	63
891	523	63
892	523	62
893	524	62
894	525	61
895	525	60
896	525	60
897	526	59
898	526	59
899	527	58
900	527	57
901	528	57
902	528	56
903	528	56
904	529	55
905	530	54
906	530	54
907	530	53
908	531	53
909	531	52
910	532	52
911	532	51
912	533	50
913	533	50
914	534	49
915	534	49
916	535	48
917	536	47
918	536	47
919	537	46
920	538	46
921	538	45
922	539	44
923	539	44
924	540	43
925	540	43
926	541	42
927	541	42
928	542	41
929	542	40
930	543	40
931	543	39
932	544	39
933	544	38
934	544	37
935	545	37
936	546	36
937	546	36
938	547	35
939	547	34
940	548	34
941	548	33
942	549	33
943	549	32
944	550	32
945	550	31
946	551	30
947	551	30
948	552	29
949	552	29
950	553	28
